Nodes,Vals,Children,Child1,Child1Val,Child2,Child2Val,BridgeVar
Thylacinus_cynocephalus,12.01310247275,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_viverrinus,4.84066437975,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_maculatus,5.095665989,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Spilocuscus_maculatus,11.73777778475,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Trichosurus_vulpecula,5.414679123,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_tropica,15.92126381,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_penicillata,12.9958767366667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Aepyprymnus_rufescens,13.90402689,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Potorous_tridactylus,25.66207381,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagostrophus_fasciatus,5.929531226,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_brachyotis,5.52976218425,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_penicillata,6.4854539175,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_persephone,13.090061211,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_bennettianus,5.0402477755,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_goodfellowi,7.2071472656,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_matschiei,25.152805766,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_lumholtzi,7.32388339511111,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_stigmatica,14.821871575,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_thetis,12.85556724325,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Wallabia_bicolor,6.067978289,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_irma,4.867997829,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_agilis,7.395185583,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_rufus,11.6800797785,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_robustus,5.985598432,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_antilopinus,8.56517445033333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_fuliginosus,7.08106563466667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_giganteus,7.6880022234,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_conspicillatus,7.24010510466667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_hirsutus,12.6110582473333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Setonix_brachyurus,10.796755249,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_unguifera,18.92699767,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_fraenata,8.480811465,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dorcopsulus_vanheurni,8.61884675566667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Hypsiprymnodon_moschatus,8.52039179716667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Pseudocheirus_peregrinus,9.866058983,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
'14',5.1581416242159515,"[""Dasyurus_viverrinus"", ""Dasyurus_maculatus""]",6.26702,4.84066437975,6.26702,5.095665989,2.4790516395391715
'25',8.670490003302005,"[""Spilocuscus_maculatus"", ""Trichosurus_vulpecula""]",25.35,11.73777778475,25.35,5.414679123,11.505921195235603
'37',14.424521228275589,"[""Bettongia_tropica"", ""Bettongia_penicillata""]",3.7675,15.92126381,3.7675,12.9958767366667,1.7626377176536288
'36',14.174917706218839,"[""'37'"", ""Aepyprymnus_rufescens""]",6.4525,14.424521228275589,10.22,13.90402689,3.8833970179963635
'35',16.53442231364304,"[""'36'"", ""Potorous_tridactylus""]",3.735,14.174917706218839,13.955,25.66207381,3.421402017609433
'34',9.301897169741869,"[""Petrogale_persephone"", ""Petrogale_penicillata""]",6.2703,13.090061211,6.2703,6.4854539175,3.3486755359393
'33',16.17047596266502,"[""Dendrolagus_goodfellowi"", ""Dendrolagus_matschiei""]",3.03004,7.2071472656,3.03004,25.152805766,1.5515482431231356
'51',13.075134117049084,"[""Dendrolagus_lumholtzi"", ""'33'""]",7.0475,7.32388339511111,4.01746,16.17047596266502,3.3054738874218326
'57',13.676098249681212,"[""Thylogale_stigmatica"", ""Thylogale_thetis""]",8.1525,14.821871575,8.1525,12.85556724325,4.093017924018754
'56',5.954742938440054,"[""Notamacropus_irma"", ""Notamacropus_agilis""]",4.7575,4.867997829,4.7575,7.395185583,2.023826167721387
'63',7.292711443038888,"[""Osphranter_robustus"", ""Osphranter_antilopinus""]",1.63,5.985598432,1.63,8.56517445033333,0.7601267039838377
'73',7.258967509202119,"[""Macropus_fuliginosus"", ""Macropus_giganteus""]",2.11,7.08106563466667,2.11,7.6880022234,0.848248344299976
'84',9.901962600551943,"[""Lagorchestes_hirsutus"", ""Lagorchestes_conspicillatus""]",3.39,12.6110582473333,3.39,7.24010510466667,1.427106861955773
'82',13.682991342097745,"[""Onychogalea_fraenata"", ""Onychogalea_unguifera""]",1.47,8.480811465,1.47,18.92699767,0.6505570842624121
'13',8.194008412466703,"[""'14'"", ""Thylacinus_cynocephalus""]",32.20298,5.1581416242159515,38.47,12.01310247275,12.709729821886528
'43',9.039567049170197,"[""Petrogale_brachyotis"", ""'34'""]",6.74582,5.52976218425,0.47552,9.301897169741869,0.43902862074322624
'50',11.781713156589879,"[""Dendrolagus_bennettianus"", ""'51'""]",8.4182,5.0402477755,1.3707,13.075134117049084,1.0638872356416083
'48',5.884518463621626,"[""'56'"", ""Wallabia_bicolor""]",1.0975,5.954742938440054,5.855,6.067978289,0.8187707306764526
'47',8.45187535156335,"[""'63'"", ""Osphranter_rufus""]",0.87,7.292711443038888,2.5,11.6800797785,0.7595025395541112
'49',11.781713156589877,"[""'50'"", ""'43'""]",0.0,11.781713156589879,1.67238,9.039567049170197,3.187316788771765e-30
'68',6.356938992303622,"[""'47'"", ""'48'""]",4.39266,8.45187535156335,1.03766,5.884518463621626,0.8192696792845273
'60',12.609442997388415,"[""'57'"", ""'49'""]",0.78906,13.676098249681212,0.52336,11.781713156589877,0.35219724686522147
'72',6.396614014840204,"[""'68'"", ""'73'""]",0.47734,6.356938992303622,5.26,7.258967509202119,0.396605930040311
'87',6.917828205474511,"[""'84'"", ""'72'""]",4.935,9.901962600551943,0.955,6.396614014840204,0.8482483218472726
'83',7.1941017013069075,"[""'87'"", ""Setonix_brachyurus""]",0.46375,6.917828205474511,8.78875,10.796755249,0.35962519418515154
'80',7.194101701306907,"[""'83'"", ""'82'""]",0.0,7.1941017013069075,7.31875,13.682991342097745,7.968291971929413e-31
'79',10.3343660505687,"[""'80'"", ""'60'""]",0.5275,7.194101701306907,0.37469,12.609442997388415,0.1887586719606186
'94',10.076066582750482,"[""Dorcopsulus_vanheurni"", ""'79'""]",10.2,8.61884675566667,0.88375,10.3343660505687,1.021960406560038
'92',8.711999344552252,"[""Lagostrophus_fasciatus"", ""'94'""]",18.2,5.929531226,8.0,10.076066582750482,5.468728310850743
'78',10.9720335517093,"[""'35'"", ""'92'""]",7.355,16.53442231364304,3.11,8.711999344552252,2.1646868747627757
'98',9.903003800054632,"[""Hypsiprymnodon_moschatus"", ""'78'""]",32.62,8.52039179716667,11.31,10.9720335517093,6.990318488778781
'97',9.039318225880011,"[""'98'"", ""'25'""]",12.68,9.903003800054632,19.95,8.670490003302005,8.123606809074992
'77',8.872421633242944,"[""'97'"", ""Pseudocheirus_peregrinus""]",2.755,9.039318225880011,48.055,9.866058983,2.9886615475542135
Node 69,7.966092186572158,"[""'77'"", ""'13'""]",12.71664,8.872421633242944,22.30164,8.194008412466703,9.472250031553523
